0
Critic_Score
Critic_Count
User_Score
User_Count
Platform_2600
Platform_3DS
Platform_DC
Platform_DS
Platform_GBA
Platform_GC
Platform_GEN
Platform_N64
Platform_NG
Platform_PC
Platform_PS
Platform_PS2
Platform_PS3
Platform_PS4
Platform_PSP
Platform_PSV
Platform_SAT
Platform_SCD
Platform_SNES
Platform_WS
Platform_Wii
Platform_WiiU
Platform_X360
Platform_XB
Platform_XOne
Genre_Action
Genre_Adventure
Genre_Fighting
Genre_Misc
Genre_Puzzle
Genre_Racing
Genre_Role-Playing
Genre_Shooter
Genre_Simulation
Genre_Sports
Genre_Strategy
Publisher_505 Games
Publisher_Acclaim Entertainment
Publisher_Activision
Publisher_Atari
Publisher_Capcom
Publisher_Codemasters
Publisher_D3Publisher
Publisher_Deep Silver
Publisher_Disney Interactive Studios
Publisher_Eidos Interactive
Publisher_Electronic Arts
Publisher_Idea Factory
Publisher_Konami Digital Entertainment
Publisher_Majesco Entertainment
Publisher_Microsoft Game Studios
Publisher_Midway Games
Publisher_Namco Bandai Games
Publisher_Nippon Ichi Software
Publisher_Other
Publisher_Sega
Publisher_Sony Computer Entertainment
Publisher_Square Enix
Publisher_THQ
Publisher_Take-Two Interactive
Publisher_Tecmo Koei
Publisher_Ubisoft
Publisher_Unknown
Publisher_Vivendi Games
Publisher_Warner Bros. Interactive Entertainment
Publisher_Zoo Digital Publishing
